"","Date","WORK.Open","WORK.High","WORK.Low","WORK.Close","WORK.Volume","WORK.Adjusted"
"123",2019-12-12,20.809999,20.969999,20.200001,20.9,10754700,20.9
"124",2019-12-13,20.92,21.448999,20.67,21.389999,8054700,21.389999
"125",2019-12-16,21.700001,21.93,21.34,21.41,9159500,21.41
"126",2019-12-17,21.530001,21.690001,20.58,20.709999,10502800,20.709999
"127",2019-12-18,20.51,21.475,20.15,21.129999,10768900,21.129999
"128",2019-12-19,21.059999,21.49,20.93,21.23,9005300,21.23
"129",2019-12-20,21.200001,21.52,20.889999,21.51,9835700,21.51
"130",2019-12-23,21.23,21.76,21.1,21.530001,6928200,21.530001
"131",2019-12-24,21.5,21.52,21.26,21.35,2890300,21.35
"132",2019-12-26,21.42,22.01,21.32,22,5450400,22
"133",2019-12-27,22.049999,22.08,21.610001,22,4877100,22
"134",2019-12-30,22.16,22.370001,21.629999,22.209999,8517000,22.209999
"135",2019-12-31,21.889999,22.5,21.889999,22.48,6060400,22.48
"136",2020-01-02,22.32,23.16,22.139999,23.02,11672300,23.02
"137",2020-01-03,22.5,22.92,22.379999,22.459999,6765400,22.459999
"138",2020-01-06,22.32,23.66,22.16,23.52,12528700,23.52
"139",2020-01-07,23.530001,23.950001,23.219999,23.83,9948100,23.83
"140",2020-01-08,23.610001,24.26,23.25,23.77,7522700,23.77
"141",2020-01-09,23.77,23.959999,22.5,23.17,11306800,23.17
"142",2020-01-10,23.35,23.440001,22.76,23.120001,5633800,23.120001
"143",2020-01-13,23.190001,23.51,22.82,23.200001,5829400,23.200001
"144",2020-01-14,22.940001,22.940001,21.91,22.280001,10466400,22.280001
"145",2020-01-15,22.4,23.23,22.215,22.33,7991900,22.33
"146",2020-01-16,22.549999,23.296,22.549999,22.969999,6955000,22.969999
"147",2020-01-17,23.190001,23.24,22.17,22.459999,9408700,22.459999
"148",2020-01-21,22.48,22.68,22.059999,22.309999,5275900,22.309999
"149",2020-01-22,22.5,22.75,22.129999,22.139999,3964000,22.139999
"150",2020-01-23,22.24,22.285999,21.209999,21.219999,8073000,21.219999
"151",2020-01-24,21.469999,21.796,20.559999,20.59,9070500,20.59
"152",2020-01-27,20.049999,20.5,19.799999,20.059999,9400400,20.059999
"153",2020-01-28,20.57,21.18,20.405001,20.98,8438200,20.98
"154",2020-01-29,21.219999,21.273001,20.48,20.799999,7142800,20.799999
"155",2020-01-30,20.620001,20.73,20.110001,20.639999,6295300,20.639999
"156",2020-01-31,20.51,20.780001,20.200001,20.73,5398800,20.73
"157",2020-02-03,20.780001,21.1,20.264999,20.98,6471900,20.98
"158",2020-02-04,21.549999,23.59,21.549999,23.25,20621100,23.25
"159",2020-02-05,23.360001,23.66,22.530001,23.309999,12429000,23.309999
"160",2020-02-06,23.4,23.48,22.540001,22.65,7972400,22.65
"161",2020-02-07,22.610001,23.07,22.5,22.99,4735000,22.99
"162",2020-02-10,23.120001,27.889999,23,26.540001,61006000,26.540001
"163",2020-02-11,24.549999,26.030001,24.33,25.98,22224000,25.98
"164",2020-02-12,26.049999,26.370001,24.870001,25.809999,9891700,25.809999
"165",2020-02-13,25.450001,26.66,25.259001,26.549999,9858900,26.549999
"166",2020-02-14,27,28.379999,26.620001,27.99,17914500,27.99
"167",2020-02-18,28.1,29.370001,27.32,27.58,14606500,27.58
"168",2020-02-19,27.84,28.34,27.41,27.5,7219000,27.5
"169",2020-02-20,27.57,28.075001,26.52,27.49,10114800,27.49
"170",2020-02-21,29.67,29.700001,27.700001,28.440001,18551000,28.440001
"171",2020-02-24,27.08,28.379999,26.34,27.92,11519500,27.92
"172",2020-02-25,28.059999,28.299999,26.219999,26.75,11124600,26.75
"173",2020-02-26,27.42,27.700001,26.15,26.610001,7564700,26.610001
"174",2020-02-27,25.58,27.08,25.09,26.219999,8718300,26.219999
"175",2020-02-28,25.25,27.040001,25.142,27.02,9927900,27.02
"176",2020-03-02,27.709999,27.709999,26.01,27.209999,9163800,27.209999
"177",2020-03-03,27.09,27.27,26.110001,26.92,8929900,26.92
"178",2020-03-04,27,27.809999,26.73,27.799999,7931800,27.799999
"179",2020-03-05,27.1,30.469999,27,28.389999,20713800,28.389999
"180",2020-03-06,28.780001,29.190001,25.25,26.42,17042100,26.42
"181",2020-03-09,24.33,25.049999,23.129999,24.889999,10489100,24.889999
"182",2020-03-10,26.040001,26.1,23.6,25.059999,11114400,25.059999
"183",2020-03-11,24.799999,25.280001,22.860001,23.620001,9381500,23.620001
"184",2020-03-12,21.74,24.48,20.76,21.35,22313100,21.35
"185",2020-03-13,21.02,21.02,15.9,19.59,49949500,19.59
"186",2020-03-16,16.030001,19.43,15.1,17.040001,22321400,17.040001
"187",2020-03-17,17.049999,21.370001,16.76,19.9,21975500,19.9
"188",2020-03-18,17.99,18.700001,16.030001,18.01,26186700,18.01
"189",2020-03-19,18.67,21.620001,17.85,21.01,42253700,21.01
"190",2020-03-20,22.75,23.299999,20.952,22.23,19419500,22.23
"191",2020-03-23,22.83,24.98,21.870001,24.75,18564100,24.75
"192",2020-03-24,26.1,27.325001,25.23,25.950001,18741800,25.950001
"193",2020-03-25,26,27.74,25.379999,25.879999,14644100,25.879999
"194",2020-03-26,27.5,29.969999,27.110001,28.48,25945700,28.48
"195",2020-03-27,27.75,29.540001,26.32,28.58,17938500,28.58
