"","Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","ADX","TrigLevel","DateTime"
"388","12/31/2019","02:35",3225,3225.5,3224.75,3225.5,294,330,3224.39,3224.81,37.27,20,"12/31/2019 02:35"
"389","12/31/2019","02:40",3225.5,3225.75,3225.25,3225.75,96,59,3224.5,3224.75,35.02,20,"12/31/2019 02:40"
"390","12/31/2019","02:45",3225.75,3226,3225.25,3225.75,109,221,3224.61,3224.75,32.55,20,"12/31/2019 02:45"
"391","12/31/2019","02:50",3225.5,3225.75,3225.5,3225.75,29,100,3224.83,3224.74,30.25,20,"12/31/2019 02:50"
"392","12/31/2019","02:55",3225.75,3226.5,3225.5,3226.25,215,102,3225.14,3224.83,29.32,20,"12/31/2019 02:55"
"393","12/31/2019","03:00",3226.25,3226.25,3225.75,3226,16,200,3225.39,3224.92,28.46,20,"12/31/2019 03:00"
"394","12/31/2019","03:05",3226,3226.5,3225.75,3226,211,196,3225.61,3225,28.02,20,"12/31/2019 03:05"
"395","12/31/2019","03:10",3226,3226.25,3225.75,3226,134,64,3225.78,3225.07,27.62,20,"12/31/2019 03:10"
"396","12/31/2019","03:15",3226,3226.25,3225.75,3226,65,28,3225.89,3225.11,27.24,20,"12/31/2019 03:15"
"397","12/31/2019","03:20",3226,3226,3225.5,3225.5,197,218,3225.89,3225.14,26.27,20,"12/31/2019 03:20"
"398","12/31/2019","03:25",3225.5,3225.75,3225.5,3225.5,128,183,3225.86,3225.18,25.36,20,"12/31/2019 03:25"
"399","12/31/2019","03:30",3225.75,3226,3225.75,3226,109,3,3225.89,3225.25,24.99,20,"12/31/2019 03:30"
"400","12/31/2019","03:35",3226,3226.5,3225.75,3226,230,105,3225.92,3225.38,25.46,20,"12/31/2019 03:35"
"401","12/31/2019","03:40",3225.75,3225.75,3225.25,3225.25,70,311,3225.81,3225.47,24.65,20,"12/31/2019 03:40"
"402","12/31/2019","03:45",3225.25,3225.5,3225,3225.25,93,53,3225.72,3225.56,23.36,20,"12/31/2019 03:45"
"403","12/31/2019","03:50",3225.5,3225.75,3225.5,3225.5,171,123,3225.67,3225.64,22.6,20,"12/31/2019 03:50"
"404","12/31/2019","03:55",3225.5,3226,3225.5,3226,53,92,3225.67,3225.72,22.32,20,"12/31/2019 03:55"
